#     Aus Daten und Hinweise importiert
#   f      2xUBr  2xUs
#  Hz       V      V
#
20     6.44   20
36     6.32   20
45     6.20   20
60     6.00   20
75     5.68   20
90     5.40   20
105    5.00   20
120    4.68   20
135    4.24   20
150    3.92   20
200    2.80   20
300    1.07   20
340    0.520  20
375    0.282  20
370    0.308  20
380    0.308  20
400    0.412  20
420    0.580  20
440    0.784  20
480    1.14   20
500    1.32   20
650    2.38   20
750    2.94   20
900    3.60   20
1400   4.58   20
1700   5.32   20
8000   6.40   20
14000  6.12   20
20000  5.92   20
24000  5.72   20
28000  5.56   20
30000  5.40   20
