#Frequenz f     a           b
#   Hz          10^-6s      10^-6s (mikrosekunden)
10              5600        100000
20              1200         50000
30              1200         33000
40               800         25000
50              1000         20200
100             1000         10000
200              720          5000
300              600          3400
400              440          2480
500              360          2000
1000             220          1000
2000             112           500
3000              76           336
4000              60           250
5000              50           198
