#   a)   Diode 1, Heizleistung 2.5 A bei 5.5 V
#   U    I     
#   V    mA     
#
    0    0
    10   0.03
    20   0.07
    30   0.14  
    40   0.21  
    50   0.30
    60   0.40
    70   0.52
    80   0.63
    90   0.76
    100  0.89
    110  1.03
    120  1.16
    130  1.28
    140  1.42
    150  1.55
    160  1.68
    170  1.81
    180  1.93
    190  2.07
    200  2.20
    210  2.34
    220  2.48
    230  2.61
    240  2.73
    250  2.88




#   a)   Diode 1, Heizleistung 2.4 A bei 5 V
#   U    I     
#   V    mA     
#
    0    0 
    10   0.02
    30   0.13 
    50   0.29
    70   0.50
    90   0.70
    110  0.89
    130  1.11
    150  1.36
    170  1.54
    190  1.70
    210  1.87
    230  2.01
    250  2.14



#   a)   Diode 1, Heizleistung 2.3 A bei 4.8 V
#   U    I     
#   V    mA     
#
    0    0 
    10   0.03
    30   0.13
    50   0.26
    70   0.43
    90   0.59
    110  0.73
    130  0.84
    150  0.96
    170  1.05
    190  1.11
    210  1.12
    230  1.15
    250  1.16




#   a)   Diode 1, Heizleistung 2.2 A bei 4.1 V
#   U    I     
#   V    mA     
#
    0    0 
    10   0.03
    30   0.12
    50   0.23
    70   0.35
    90   0.44
    110  0.50
    130  0.53
    150  0.55
    170  0.57
    190  0.58
    210  0.58
    230  0.58
    250  0.59




#   a)   Diode 1, Heizleistung 2.1 A bei 4 V
#   U    I     
#   V    mA     
#
    0    0 
    10   0.02
    30   0.09
    40   0.13
    50   0.17
    60   0.20
    70   0.23
    80   0.22
    90   0.25
    110  0.25
    130  0.26
    150  0.26
    170  0.26
    190  0.27




#   e)   Diode 1
#   U     I     
#   V     nA     
# 
    0     4.80
    0.1   2.20
    0.2   1.05
    0.3   0.80
    0.4   0.47
    0.5   0.24
    0.6   0.10
    0.7   0.06
    0.8   0.01
    0.9   0.008
    0.97  0.02
    
    
    
    
