# Cu-Emissionsspektrum
# Beschleunigungsspannung U=35kV, Strom I=1mA, LiF-Kristall
# Integrationszeit pro Winkel t=10s, 
#
#Kristallwinkel	
#theta/�	N [Imp/s]
#
20.7	241.0
20.8	225.0
20.9	192.0
21.0	188.0
21.1	172.0
21.2	168.0
21.3	169.0
21.4	166.0
21.5	170.0
21.6	174.0
21.7	164.0
21.8	180.0
21.9	179.0
22.0	191.0
22.1	232.0
22.2	300.0
22.3	536.0
22.4	4128.0
22.5	5050.0
22.6	4750.0
22.7	4571.0
22.8	4097.0
22.9	901.0
23.0	244.0
23.1	179.0
23.2	151.0
23.3	145.0
23.4	130.0
23.5	121.0
23.6	126.0
23.7	117.0
23.8	112.0
23.9	110.0
24.0	105.0
