#
# Bei 5.3 L/min; Messwinkel: 15%
#
# Depth       -f-mean          I      
#  us           Hz         1000V^2/s
13              -171            60
13.5            -220            90
14              -244            100
14.5            -256            100
15              -269            104
15.5            -256            100
16              -232            105
16.5            -195            101
17              -159            90
17.5            -134            60
#
# Bei 3.4 L/min; Messwinkel: 15%
#
13              -98             55
13.5            -110            70
14              -122            87
14.5            -134            97
15              -146            120
15.5            -134            114
16              -122            116
16.5            -110            88
17              -98             49
#17.5            0              0


